date,appid,name,discount_percent,rating_percent,price,steam_store_url
2025-12-07,1824220,Chivalry 2,80.0,78.53,7.99,https://store.steampowered.com/app/1824220/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,821250,Flotsam,50.0,75.14,12.49,https://store.steampowered.com/app/821250/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,3058630,Assetto Corsa EVO,20.0,68.15,31.99,https://store.steampowered.com/app/3058630/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1468810,鬼谷八荒 Tale of Immortal,30.0,54.04,13.99,https://store.steampowered.com/app/1468810/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,32440,LEGO® Star Wars™ - The Complete Saga,75.0,94.47,4.99,https://store.steampowered.com/app/32440/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,220200,Kerbal Space Program,75.0,93.91,9.99,https://store.steampowered.com/app/220200/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,242680,Nuclear Throne,50.0,93.77,5.99,https://store.steampowered.com/app/242680/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,602960,Barotrauma,50.0,92.5,17.49,https://store.steampowered.com/app/602960/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,3483740,Cast n Chill,25.0,92.06,11.24,https://store.steampowered.com/app/3483740/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,1796470,Haste,30.0,89.64,13.99,https://store.steampowered.com/app/1796470/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,920210,LEGO® Star Wars™: The Skywalker Saga,80.0,88.88,9.99,https://store.steampowered.com/app/920210/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,2114740,Blasphemous 2,67.0,88.6,9.89,https://store.steampowered.com/app/2114740/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,881020,Granblue Fantasy: Relink,60.0,88.27,23.99,https://store.steampowered.com/app/881020/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,20920,The Witcher 2: Assassins of Kings Enhanced Edition,85.0,88.21,2.99,https://store.steampowered.com/app/20920/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,220240,Far Cry 3,80.0,87.83,3.99,https://store.steampowered.com/app/220240/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,232090,Killing Floor 2,90.0,86.74,2.99,https://store.steampowered.com/app/232090/?curator_clanid=4777282&utm_source=SteamDB
2025-12-07,431240,Golf With Your Friends,80.0,86.68,9.99,https://store.steampowered.com/app/431240/?curator_clanid=4777282&utm_source=SteamDB
